,ID,Country,Date,Amount,Controller_Processor,Quoted_Art,Type
0,ETid-1968,ROMANIA,2023-07-18,"3,000",ING Bank NV Amsterdam Sucursala București,"Art. 32 (1) b) GDPR, Art. 32 (2), (4) GDPR",Insufficient technical and organisational measures to ensure information security
1,ETid-1967,SPAIN,2023-07-12,"10,000",Private individual,Art. 6 GDPR,Insufficient legal basis for data processing
2,ETid-1966,SPAIN,2023-07-16,300,Private individual,Art. 13 GDRP,Insufficient fulfilment of information obligations
3,ETid-1965,IRELAND,2023-06-16,"1,000,000",Irish Departement of Health,"Art. 5 (1) c) GDPR, Art. 6 (1), (4) GDPR, Art. 9 (1) GDPR",Non-compliance with general data processing principles
4,ETid-1964,SPAIN,2023-07-17,"10,000","NANDIVALE, S.L",Art. 6 (1) GDPR,Insufficient legal basis for data processing
5,ETid-1963,SPAIN,2023-07-21,720,"MADRID TOURISTIC CAPITAL, S.L.",Art. 13 GDRP,Insufficient fulfilment of information obligations
6,ETid-1962,SPAIN,2023-07-18,"70,000","DIGI SPAIN TELECOM, S.L.",Art. 6 (1) GDPR,Insufficient legal basis for data processing
7,ETid-1961,POLAND,2023-05-31,"10,600",Company,"Art. 5 (1) f) GDPR, Art. 5 (2) GDPR, Art. 25 (1) GDPR, Art. 32 (1), (2) GDPR, Art. 33 (1) GDPR, Art. 34 (1), (2) GDPR",Insufficient technical and organisational measures to ensure information security
8,ETid-1960,SPAIN,2023-07-20,300,Private individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles
9,ETid-1959,SPAIN,2023-07-20,"1,000",Private individual,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles
10,ETid-1958,SPAIN,2023-07-12,"48,000","Birou Gas, S.L.",Art. 58 (1) GDPR,Insufficient cooperation with supervisory authority
11,ETid-1957,SPAIN,2023-06-07,"1,200",CONCENTRA CENTRAL DE COMPRAS Y SERVICIOS S.L.,Art. 21 (4) GDPR,Insufficient fulfilment of data subjects rights
12,ETid-1956,SPAIN,2023-06-06,"3,000",Private individual,"Art. 5 (1) f) GDPR, Art. 32 (1) GDPR",Non-compliance with general data processing principles
13,ETid-1955,SPAIN,2023-05-29,300,CBHNOS S.L.,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles
14,ETid-1954,SPAIN,2023-03-30,"1,800","LISMARTSA, S.L.",Art. 5 (1) c) GDPR,Non-compliance with general data processing principles
15,ETid-1953,SPAIN,2023-07-04,"25,000","CaixaBank, S.A.",Art. 32 (1) GDPR,Insufficient technical and organisational measures to ensure information security
16,ETid-1952,ICELAND,2023-06-27,"257,000",Creditinfo Lánstraust hf.,"Art. 5 (1), (2) GDPR, Art. 6 (1) GDPR, Art. 8 laga nr. 90/2018, Art. 9 laga nr. 90/2018",Insufficient legal basis for data processing
17,ETid-1951,ITALY,2023-04-27,"4,000",Università degli studi di Cassino e del Lazio Meridionale,"Art. 5 (1) a) GDPR, Art. 6 GDPR, Art. 10 GDPR, Art. 2-ter Codice della privacy, Art. 2-octies Codice della privacy",Non-compliance with general data processing principles
18,ETid-1950,ITALY,2023-05-17,"10,000",Santander Consumer Bank S.p.a.,"Art. 12 (3), (4) GDPR",Insufficient fulfilment of data subjects rights
19,ETid-1949,SPAIN,2023-07-10,300,Private individual,Art. 13 GDPR,Insufficient fulfilment of information obligations
20,ETid-1948,ICELAND,2023-06-27,"51,000",eCommerce 2020 ApS,"Art. 5 (1), (2) GDPR, Art. 6 (1) GDPR, Art. 8 laga nr. 90/2018, Art. 9 laga nr. 90/2018",Insufficient legal basis for data processing
21,ETid-1947,SPAIN,2023-05-29,180,"CARROZADOS TECAI, S.L.",Art. 13 GDPR,Insufficient fulfilment of information obligations
22,ETid-1946,ICELAND,2023-06-27,"24,000",Almennri innheimtu ehf,"Art. 5 (1), (2) GDPR, Art. 6 (1) GDPR, Art. 8 laga nr. 90/2018, Art. 9 laga nr. 90/2018",Insufficient legal basis for data processing
23,ETid-1945,SPAIN,2023-07-05,"1,200","LISMARTSA, S.L.","Art. 5 (1) f) GDPR, Art. 32 GDPR",Non-compliance with general data processing principles
24,ETid-1944,SPAIN,2023-07-07,"5,000",Private individual,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles
25,ETid-1943,SPAIN,2023-07-07,"2,000","KUGELCHEN PROPIERTIES, S.L.",Art. 6 (1) GDPR,Insufficient legal basis for data processing
26,ETid-1942,SPAIN,2023-07-07,"15,000",RCL CRUISES LTD,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Non-compliance with general data processing principles
27,ETid-1941,SPAIN,2023-07-03,"56,000","ODAFONE SERVICIOS, S.L.U.",Art. 6 (1) GDPR,Insufficient legal basis for data processing
28,ETid-1940,ICELAND,2023-07-03,"81,000",Heilsuveru,"Art. 5 (1) f) GDPR, Art. 25 GDPR, Art. 32 (1) b), d) GDPR",Insufficient technical and organisational measures to ensure information security
29,ETid-1939,SPAIN,2023-07-04,500,"EXPLOTACIONES HOSTELERAS Y DE OCIO ALBACETEÑAS, S.L.",Art. 5 (1) c) GDPR,Non-compliance with general data processing principles
30,ETid-1938,SWEDEN,2023-06-30,"25,000",CDON AB,Art. 44 GDPR,Insufficient technical and organisational measures to ensure information security
31,ETid-1937,SWEDEN,2023-06-30,"1,000,000",Tele2 Sverige Aktiebolag,Art. 44 GDPR,Insufficient technical and organisational measures to ensure information security
32,ETid-1936,SPAIN,2023-06-30,600,Private individual,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles
33,ETid-1935,ITALY,2023-05-17,"60,000",Website operator,"Art. 5 (1) a), d) GDPR, Art. 5 (2) GDPR, Art. 6 GDPR, Art. 12 (1), (2) GDPR, Art. 13 GDPR, Art. 15 GDPR, Art. 16 GDPR Art. 17 GDPR, Art. 24 GDPR, Art. 25 GDPR",Non-compliance with general data processing principles
34,ETid-1934,SPAIN,2023-06-29,"1,000","PUNTO ROJO LIBROS, S.L.",Art. 58 (2) GDPR,Insufficient cooperation with supervisory authority
35,ETid-1933,ICELAND,2023-06-28,"13,400",Sjúkratyringur Íslands,"Art. 5 (1) f) GDPR, Art. 25 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security
36,ETid-1932,ITALY,2023-05-17,"10,000",Grizzaffi Management Srl,"Art. 5 (1) a) GDPR, Art. 17 GDPR, Art. 21 GDPR",Insufficient fulfilment of data subjects rights
37,ETid-1931,ITALY,2023-04-27,"240,000",Benetton Group S.r.l.,"Art. 5 (1) c), e) GDPR, Art. 32 (1) b), d) GDPR, Art. 32 (2) GDPR",Non-compliance with general data processing principles
38,ETid-1930,ITALY,2023-04-27,"2,000",Store owner,"Art. 5 (1) a) GDPR, Art. 13 GDPR",Insufficient fulfilment of information obligations
39,ETid-1929,POLAND,2023-05-16,"6,700",Municipality,"Art. 5 (1) f) GDPR, Art. 5 (2) GDPR, Art. 24 (1) GDPR, Art. 25 (1) GDPR, Art. 32 (1), (2) GDPR",Insufficient technical and organisational measures to ensure information security
40,ETid-1928,SWEDEN,2023-06-26,"1,100,000",Bonnier News AB,Art. 6 (1) GDPR,Insufficient legal basis for data processing
41,ETid-1927,ITALY,2023-04-13,"13,000",Azienda socio sanitaria locale n. 3 di Nuoro,"Art. 5 GDPR, Art. 6 GDPR, Art. 9 GDPR, Art. 2-septies (8) Codice della privacy",Insufficient legal basis for data processing
42,ETid-1926,ITALY,2023-04-13,"3,000",Comune di Cogollo del Cengio,"Art. 5 GDPR, Art. 6 GDPR, Art. 9 GDPR, Art. 2-ter Codice della privacy, Art. 2-septies (8) Codice della privacy",Insufficient legal basis for data processing
43,ETid-1925,ITALY,2023-04-27,"15,000","Ufficio Scolastico Regionale per la Puglia, Ufficio VI - Ambito Territoriale di Lecce","Art. 5 GDPR, Art. 6 GDPR, Art. 9 GDPR, Art. 2-ter Codice della privacy, Art. 2-septies (8) Codice della privacy",Insufficient legal basis for data processing
44,ETid-1924,ITALY,2023-03-23,"40,000",La Risorsa Umana.it s.r.l.,"Art. 5 (1) a), c) GDPR, Art. 13 GDPR, Art. 28 GDPR",Non-compliance with general data processing principles
45,ETid-1923,SPAIN,2023-06-27,"1,000","TRC TRUCKS 2020, S.L.",Art. 58 (2) GDPR,Insufficient cooperation with supervisory authority
46,ETid-1922,GREECE,2023-05-29,"150,000","NOVA TELECOMMUNICATIONS & MEDIA ΜΟΝΟΠΡΟΣΩΠΗ Α.Ε.,","Art. 12 (3), (4), (5) GDPR, Art. 15 (1) GDPR, Art. 21 (3) GDPR, Art. 25 (1) GDPR",Insufficient fulfilment of data subjects rights
47,ETid-1921,GREECE,2023-06-12,"210,000",Piraeus Bank,"Art. 5 (1) a) GDPR, Art. 6 GDPR, Art. 15 (1) GDPR, Art. 25 (1) GDPR",Non-compliance with general data processing principles
48,ETid-1920,ITALY,2023-05-17,"10,000",Azienda ULSS 6 Euganea,"Art. 5 GDPR, Art. 6 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security
49,ETid-1919,ROMANIA,2023-06-27,"2,500",Farmacia Ardealul SRL,"Art. 32 (1) b), d) GDPR, Art. 32 (2) GDPR",Insufficient technical and organisational measures to ensure information security
50,ETid-1918,SPAIN,2023-06-22,"90,000","Sociedad Vascongada de Publicaciones, S.A.",Art. 5 (1) c) GDPR,Non-compliance with general data processing principles
51,ETid-1917,SPAIN,2023-06-22,"90,000",Corporación de Medios de Extremadura,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles
52,ETid-1916,SPAIN,2023-06-23,180,Private individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles
53,ETid-1915,ITALY,2023-04-27,"239,000",Ama S.p.a.,"Art. 28 GDPR, Art. 29 GDPR, Art. 32 GDPR, Art. 2-quaderdecies Codice della Privacy",Insufficient legal basis for data processing
54,ETid-1914,ITALY,2023-04-27,"176,000",Roma Capitale,"Art. 5 (1) a), b), c), d), f) GDPR, Art. 9 GDPR, Art. 28 GDPR, Art. 29 GDPR, Art. 32 GDPR, Art. 2-sexies Codice della privacy, Art. 2-septies Codice della privacy",Non-compliance with general data processing principles
55,ETid-1913,ITALY,2023-05-17,"40,000",Volkswagen Leasing GmbH,"Art. 12 GDPR, Art. 15 GDPR",Insufficient fulfilment of data subjects rights
56,ETid-1912,FRANCE,2023-06-15,"40,000,000",CRITEO,"Art. 7 (1), (3) GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 15 (1) GDPR, Art. 17 (1) GDPR, Art. 26 GDPR",Insufficient fulfilment of data subjects rights
57,ETid-1911,MALTA,2022,"65,000",Unknown,"Art. 5 (1) f) GDPR, Art. 6 (1) GDPR, Art. 9 (1), (2) GDPR, Art. 32 (1) GDPR, Art. 33 (1) GDPR, Art. 34 (1) GDPR",Non-compliance with general data processing principles
58,ETid-1910,MALTA,2023,"2,500",Unknown,"Art. 5 (1) a) GDPR, Art. 12 (1), (3) GDPR, Art. 13 GDPR, Art. 14 GDPR, Art. 15 (1), (3) GDPR, Art. 24 (2) GDPR, Art. 38 (1) GDPR",Insufficient fulfilment of data subjects rights
59,ETid-1909,MALTA,2023,"5,000",Unknown,"Art. 5 (1) a), b), c) GDPR, Art. 6 GDPR",Non-compliance with general data processing principles
60,ETid-1908,POLAND,2023-05-05,"2,200",Municipality,"Art. 5 (1) f) GDPR, Art. 5 (2) GDPR, Art. 25 (1) GDPR, Art. 32 (1), (2) GDPR",Insufficient technical and organisational measures to ensure information security
61,ETid-1907,GERMANY,2022,Unknown,Physician,"Art.5 GDPR, Art. 6 GDPR, Art. 9 GDPR",Insufficient legal basis for data processing
62,ETid-1906,LATVIA,2022,Unknown,Company,"Art.5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing
63,ETid-1905,BELGIUM,2023-06-16,"30,000",Belgian Order of Pharmacists,"Art. 5 (1) a), b), c), d), e) GDPR",Non-compliance with general data processing principles
64,ETid-1904,ROMANIA,2023-06-21,"1,000",Vodafone Romania SA,Art. 15 (3) GDPR,Insufficient fulfilment of data subjects rights
65,ETid-1903,SPAIN,2023-06-21,"56,000","Vodafone España, S.A.U.",Art. 6 (1) GDPR,Insufficient legal basis for data processing
66,ETid-1902,LATVIA,2022,Unknown,Unknown,Art. 58 (1) GDPR,Insufficient cooperation with supervisory authority
67,ETid-1901,LATVIA,2022,Unknown,Unknown,Art. 58 (2) GDPR,Insufficient cooperation with supervisory authority
68,ETid-1900,SPAIN,2023-06-20,"50,000","GRUPO TRANSAHER, SL.",Art. 6 GDPR,Insufficient legal basis for data processing
69,ETid-1899,SPAIN,2023-06-20,300,Private individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles
70,ETid-1898,SPAIN,2023-06-14,"70,000","Digi Spain Telecom, S.L.U.",Art. 6 (1) GDPR,Insufficient legal basis for data processing
71,ETid-1897,SPAIN,2023-06-14,"70,000","Digi Spain Telecom, S.L.U.",Art. 6 (1) GDPR,Insufficient legal basis for data processing
72,ETid-1896,ITALY,2023-04-27,400,Private individual,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Non-compliance with general data processing principles
73,ETid-1895,ROMANIA,2023-06-15,"8,000",Artima S.A.,"Art. 32 (1) b) GDPR, Art. 32 (2), (4) GDPR",Insufficient technical and organisational measures to ensure information security
74,ETid-1894,ROMANIA,2023-06-15,"2,000",BRD-Groupe Société Générale S.A.,"Art. 5 (1) a), b), f) GDPR, Art. 5 (2) GDPR",Non-compliance with general data processing principles
75,ETid-1893,ITALY,2023-04-14,"676,956",Sorgenia S.p.a.,"Art. 5 (2) GDPR, Art. 12 (3) GDPR, Art. 25 GDPR",Insufficient technical and organisational measures to ensure information security
76,ETid-1892,ITALY,2023-04-14,"237,800",Green Network S.p.A.,"Art. 5 (2) GDPR, Art. 25 GDPR",Insufficient technical and organisational measures to ensure information security
77,ETid-1891,FRANCE,2023-06-08,"150,000",KG COM,"Art. 5 (1) c), e) GDPR, Art. 6 GDPR, Art. 9 GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 28 GDPR, Art. 32 GDPR, Art. 33 GDPR, Art. 82 Loi informatique et libertés",Non-compliance with general data processing principles
78,ETid-1890,GERMANY,2022,Unknown,Credit agency,Art. 15 GDPR,Insufficient fulfilment of data subjects rights
79,ETid-1889,GERMANY,2022,Unknown,Job center employee,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing
80,ETid-1888,GERMANY,2022,Unknown,Job center employee,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing
81,ETid-1887,GERMANY,2022,500,Private individual,Art. 6 GDPR,Insufficient legal basis for data processing
82,ETid-1886,GERMANY,2022,"8,900",Company,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security
83,ETid-1885,GERMANY,2022,"50,000",Company,"Art. 15 GDPR, Art. 21 GDPR",Insufficient fulfilment of data subjects rights
84,ETid-1884,SPAIN,2023-06-14,300,Private individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles
85,ETid-1883,SPAIN,2023-06-14,400,Unknown,Art. 58 (2) GDPR,Insufficient cooperation with supervisory authority
86,ETid-1882,SPAIN,2023-06-13,"70,000","DIGI SPAIN TELECOM, S.L.",Art. 6 (1) GDPR,Insufficient legal basis for data processing
87,ETid-1881,SPAIN,2023-06-13,"70,000","DIGI SPAIN TELECOM, S.L.",Art. 6 (1) GDPR,Insufficient legal basis for data processing
88,ETid-1880,SPAIN,2023-06-09,"70,000","DIGI SPAIN TELECOM, S.L.",Art. 6 (1) GDPR,Insufficient legal basis for data processing
89,ETid-1879,SPAIN,2023-06-08,180,Private individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles
90,ETid-1878,SPAIN,2023-06-07,400,"LEADDESK, S.L",Art. 58 (1) GDPR,Insufficient cooperation with supervisory authority
91,ETid-1877,SPAIN,2023-06-16,"2,000",Unknown,Art. 13 GDPR,Insufficient fulfilment of information obligations
92,ETid-1876,SWEDEN,2023-06-12,"4,900,000",Spotify,"Art. 12 (1) GDPR, Art. 15 (1), (2) GDPR",Insufficient fulfilment of data subjects rights
93,ETid-1875,SPAIN,2023-05-17,"50,000","FUSIONA SOLUCIONES ENERGÉTICAS, S.A.",Art. 6 (1) GDPR,Insufficient legal basis for data processing
94,ETid-1874,SPAIN,2023-05-23,"70,000","Digi Spain Telecom, S.L.U.",Art. 6 (1) GDPR,Insufficient legal basis for data processing
95,ETid-1873,SPAIN,2023-06-06,"70,000","Digi Spain Telecom, S.L.U.",Art. 6 (1) GDPR,Insufficient legal basis for data processing
96,ETid-1872,SPAIN,2023-06-07,"84,000",UNITED PARCEL SERVICE ESPAÑA LTD. Y CIA SRC,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security
97,ETid-1871,ITALY,2023-04-13,"7,631,175",TIM S.p.A.,"Art. 5 (2) GDPR, Art. 6 GDPR, Art. 7 GPDR, Art. 12 (2), (3) GDPR, Art. 13 GDPR, Art. 14 GDPR, Art. 15 (1) GDPR, Art. 32 (1) b) GDPR",Insufficient legal basis for data processing
98,ETid-1870,GERMANY,2022,Fine amount between EUR 200 and EUR 1000,Unknown,Art. 6 GDPR,Insufficient legal basis for data processing
99,ETid-1869,ITALY,2023-03-02,"50,000","H&M Hennes & Mauritz s.r.l. EUR 50,000","Art. 5 (1) a) GDPR, Art. 114 Codice della privacy",Non-compliance with general data processing principles
100,ETid-1868,GERMANY,2022,Unknown,Sports photography company,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing
101,ETid-1867,GERMANY,2022,Unknown,Restaurant operator,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing
102,ETid-1866,GERMANY,2022,Unknown,Private individual,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing
103,ETid-1865,SPAIN,2023-05-31,500,Website operator,Art. 13 GDPR,Insufficient fulfilment of information obligations
104,ETid-1864,SPAIN,2023-06-05,"10,000",ALPA 57 PRODUCCIONES,Art. 6 (1) GDPR,Insufficient legal basis for data processing
105,ETid-1863,SPAIN,2023-06-07,"20,000","RCI BANQUE, S.A. SUCURSAL EN ESPAÑA",Art. 17 GDPR,Insufficient fulfilment of data subjects rights
106,ETid-1862,SPAIN,2023-06-01,"42,000","PELAYO, MUTUA DE SEGUROS Y REASEGUROS A PRIMA FIJA","Art. 5 (1) f) GDPR, Art. 32 GDPR",Non-compliance with general data processing principles
107,ETid-1861,SPAIN,2023-06-02,"20,000",QUALITY-PROVIDER S.A.,"Art. 6 GDPR, Art. 17 GDPR",Insufficient fulfilment of data subjects rights
108,ETid-1860,SPAIN,2023-06-06,"56,000","VODAFONE ONO, S.A.U.",Art. 6 (1) GDPR,Insufficient legal basis for data processing
109,ETid-1859,CROATIA,2023-05-18,"380,000",Sports betting operator,"Art. 6 (1) GDPR, Art. 13 (1), (2) GDPR, Art. 25 (1), (2) GDPR, Art. 32 (1) a), d) GDPR",Insufficient legal basis for data processing
110,ETid-1858,SPAIN,2023-06-02,300,Private individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles
111,ETid-1857,ROMANIA,2023-06-06,"3,000",S.C. Apollo Salon S.R.L.,Art. 58 GDPR,Insufficient cooperation with supervisory authority
112,ETid-1856,GERMANY,2023-05-31,"300,000",Deutsche Kreditbank,"Art. 5 (1) a) GDPR, Art. 15 (1) h) GDPR, Art. 22 (3) GDPR",Insufficient fulfilment of data subjects rights
113,ETid-1855,SPAIN,2023-05-17,900,"WILLOUGHBY COLLEGE, S.A",Art. 58 (1) GDPR,Insufficient cooperation with supervisory authority
114,ETid-1854,SPAIN,2023-05-24,"3,000","NORDETIA CLINICS IBERIA, S.L.",Art. 58 (1) GDPR,Insufficient cooperation with supervisory authority
115,ETid-1853,SPAIN,2023-05-24,"10,000",Private individual,Art. 6 (1) GDPR,Insufficient legal basis for data processing
116,ETid-1852,SPAIN,2023-05-25,480,Private individual,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles
117,ETid-1851,SPAIN,2023-05-25,600,Private individual,Art. 58 (2) GDPR,Insufficient cooperation with supervisory authority
118,ETid-1850,ROMANIA,2023-05-23,"1,000",Global Baby Brand SRL,Art. 7 GDPR,Insufficient legal basis for data processing
119,ETid-1849,ROMANIA,2023-05-18,"18,000",AUTOMOBILE BAVARIA SRL,"Art. 32 (1) b), d) GDPR, Art. 32 (2) GDPR, Art. 25 (1) GDPR",Insufficient technical and organisational measures to ensure information security
120,ETid-1848,ROMANIA,2023-05-16,"5,000",Compania Națională Poșta Română S.A.,"Art. 5 (1) a) GDPR, Art. 5 (2) GDPR, Art. 6 (1) GDPR",Insufficient legal basis for data processing
121,ETid-1847,ROMANIA,2023-05-12,"1,000",NN Asigurări de Viață S.A.,"Art. 32 (1) b), d) GDPR, Art. 32 (2) GDPR",Insufficient technical and organisational measures to ensure information security
122,ETid-1846,ROMANIA,2023-05-12,"1,500",NN Pensii Societate de Administrare a unui Fond de Pensii Administrat Privat S.A.,"Art. 32 (1) b), d) GDPR, Art. 32 (2) GDPR",Insufficient technical and organisational measures to ensure information security
123,ETid-1845,ROMANIA,2023-05-11,"11,000",Libra Internet Bank SA,"Art. 12 (2), (4) GDPR, Art. 15 (3) GDPR",Insufficient fulfilment of data subjects rights
124,ETid-1844,IRELAND,2023-05-12,"1,200,000,000",Meta Platforms Ireland Limited,Art. 46 (1) GDPR,Insufficient legal basis for data processing
125,ETid-1843,MALTA,2020,"4,000",Unknown,"Art. 13 GDPR, Art. 15 GDPR, Regulation 9 S.L 586.01",Insufficient fulfilment of data subjects rights
126,ETid-1842,MALTA,2020,"20,000",Unknown,"Art. 13 GDPR, Art. 15 GDPR",Insufficient fulfilment of data subjects rights
127,ETid-1841,MALTA,2020,"2,500",Unknown,"Art. 5 (1) f) GDPR, Art. 32 (1) b) GDPR",Insufficient technical and organisational measures to ensure information security
128,ETid-1840,MALTA,2020,"2,000",Unknown,Art. 32 (1) b) GDPR,Insufficient technical and organisational measures to ensure information security
129,ETid-1839,FRANCE,2023-05-10,"5,200,000",Clearview AI,Unknown,Insufficient cooperation with supervisory authority
130,ETid-1838,MALTA,2020,"2,500",Unknown,Art. 32 (1) b) GDPR,Insufficient technical and organisational measures to ensure information security
131,ETid-1837,MALTA,2020,"2,500",Unknown,Art. 32 (1) b) GDPR,Insufficient technical and organisational measures to ensure information security
132,ETid-1836,MALTA,2020,"5,000",Unknown,"Art. 5 (1) f) GDPR, Art. 32 (1) b) GDPR",Insufficient technical and organisational measures to ensure information security
133,ETid-1835,MALTA,2022,"250,000",Unknown,"Art. 32 (1), (2) GDPR",Insufficient technical and organisational measures to ensure information security
134,ETid-1834,MALTA,2022,"2,500",Unknown,"Art. 24 (2) GDPR, Art. 32 (1) (b) GDPR, Art. 32 (4) GDPR",Insufficient technical and organisational measures to ensure information security
135,ETid-1833,BULGARIA,2022,"5,000",Trucking company,Art. 6 GDPR,Insufficient legal basis for data processing
136,ETid-1832,BULGARIA,2022-05-04,"500,000",Bulgarian Post EAD,"Art. 32 (1) b), c), d) GDPR, Art. 32 (2) GDPR",Insufficient technical and organisational measures to ensure information security
137,ETid-1831,BULGARIA,2022,"12,800",Political party,Art. 6 (1) GDPR,Insufficient legal basis for data processing
138,ETid-1830,ITALY,2023-03-02,"1,000",Razmataz Live s.r.l..,"Art. 5 (1) a) GDPR, Art. 6 (1) GDPR, Art. 28 GDPR",Non-compliance with general data processing principles
139,ETid-1829,ITALY,2023-03-23,"10,000",Informatica Alto Adige Spa,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security
