,0,1,2,3,4,5,6,7,8,9,10,date,discipline
0,1,,,DEN,[DEN] Viktor AXELSEN,,25831,107455,15,Europe,Denmark,10/24/2023,MS
1,2,,,INA,[INA] Anthony Sinisuka GINTING,,95661,86611,19,Asia,Indonesia,10/24/2023,MS
2,3,,,JPN,[JPN] Kodai NARAOKA,,62063,82015,23,Asia,Japan,10/24/2023,MS
3,4,1,,THA,[THA] Kunlavut VITIDSARN,,64032,79778,18,Asia,Thailand,10/24/2023,MS
4,5,1,,CHN,[CHN] LI Shi Feng,,95476,78548,23,Asia,China,10/24/2023,MS
5,6,1,,INA,[INA] Jonatan CHRISTIE,,73442,76921,18,Asia,Indonesia,10/24/2023,MS
6,7,3,,CHN,[CHN] SHI Yu Qi,,57945,76874,21,Asia,China,10/24/2023,MS
7,8,,,IND,[IND] PRANNOY H. S.,,83950,76037,20,Asia,India,10/24/2023,MS
8,9,,,SGP,[SGP] LOH Kean Yew,,76115,69412,23,Asia,Singapore,10/24/2023,MS
9,10,,,DEN,[DEN] Anders ANTONSEN,,91554,66610,18,Europe,Denmark,10/24/2023,MS
10,11,,,MAS,[MAS] LEE Zii Jia,,81561,65776,23,Asia,Malaysia,10/24/2023,MS
11,12,,,CHN,[CHN] LU Guang Zu,,77427,62580,21,Asia,China,10/24/2023,MS
12,13,1,,JPN,[JPN] Kenta NISHIMOTO,,85394,61757,25,Asia,Japan,10/24/2023,MS
13,14,1,,TPE,[TPE] CHOU Tien Chen,,34810,60867,25,Asia,Chinese Taipei,10/24/2023,MS
14,15,,,JPN,[JPN] Kanta TSUNEYAMA,,57823,60441,24,Asia,Japan,10/24/2023,MS
15,16,2,,HKG,[HKG] LEE Cheuk Yiu,,94780,59314,25,Asia,Hong Kong China,10/24/2023,MS
16,17,1,,IND,[IND] Lakshya SEN,,68870,57851,21,Asia,India,10/24/2023,MS
17,18,1,,MAS,[MAS] NG Tze Yong,,81362,57040,23,Asia,Malaysia,10/24/2023,MS
18,19,3,,CHN,[CHN] WENG Hong Yang,,77042,56440,19,Asia,China,10/24/2023,MS
19,20,1,,HKG,[HKG] NG Ka Long Angus,,45171,54522,24,Asia,Hong Kong China,10/24/2023,MS
20,21,2,,DEN,[DEN] Rasmus GEMKE,,62855,50139,14,Europe,Denmark,10/24/2023,MS
21,22,2,,IND,[IND] KIDAMBI Srikanth,,93627,49233,21,Asia,India,10/24/2023,MS
22,23,2,,INA,[INA] Chico Aura DWI WARDOYO,,71408,49064,20,Asia,Indonesia,10/24/2023,MS
23,24,,,TPE,[TPE] LIN Chun-Yi,,86114,48408,25,Asia,Chinese Taipei,10/24/2023,MS
24,25,1,,FRA,[FRA] Toma Junior POPOV,,61628,46267,22,Europe,France,10/24/2023,MS
25,26,2,,JPN,[JPN] Koki WATANABE,,97174,44737,14,Asia,Japan,10/24/2023,MS
