,ID,Country,Date,Amount,Controller_Processor,Quoted_Art,Type
0,ETid-1340,GERMANY,2021,Unknown,Private individual,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles
1,ETid-1339,GERMANY,2021,"Fine amount between EUR 100 and EUR 1,000",Private individual,Art. 6 GDPR,Insufficient legal basis for data processing
2,ETid-1338,GERMANY,2021,Unknown,Unknown,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security
3,ETid-1337,GERMANY,2021,Unknown,Unknown,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security
4,ETid-1336,GERMANY,2021,Unknown,Company,"Art. 25 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security
5,ETid-1335,GERMANY,2021,"16,000",Electronics store,"Art. 5 (1) c) GDPR, Art. 17 GDPR, Art. 35 (3) GDPR",Non-compliance with general data processing principles
6,ETid-1334,SPAIN,2022-08-05,"9,000","Prodesspa Decoratius i Pintures , S.L.",Art. 6 GDPR,Insufficient legal basis for data processing
7,ETid-1333,SPAIN,2022-08-03,600,Private individual,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles
8,ETid-1332,SPAIN,2022-08-08,600,Private individual,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles
9,ETid-1331,ROMANIA,2022-08-09,"1,000",Wabag Water Services SRL,"Art. 5 (1) a) GDPR, Art. 5 (2) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing
10,ETid-1330,DENMARK,2022-08-11,"6,700",Lolland municipiality,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security
11,ETid-1329,SPAIN,2022-08-08,600,Restaurant owner,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles
12,ETid-1328,ROMANIA,2022-08-09,"7,000",CDI Transport Intern și Internațional SRL,"Art. 12 (1) GDPR, Art. 58 (1) a), e) GDPR",Insufficient fulfilment of data subjects rights
13,ETid-1327,ITALY,2021-05-13,"20,000",Synlab Med srl,"Art. 5 (1) a), c) GDPR, Art. 9 GDPR, Art. 2-ter Codice della privacy",Non-compliance with general data processing principles
14,ETid-1326,ITALY,2022-08-01,"26,000",Policoro municipality,"Art. 5 (1) a), e) GDPR, Art. 5 (2) GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 24 GDPR, Art. 38 (6) GDPR",Non-compliance with general data processing principles
15,ETid-1325,SPAIN,2022-08-01,"9,600","LAST LAP, S.L.","Art. 6 GDPR, Art. 9 GDPR",Insufficient legal basis for data processing
16,ETid-1324,SPAIN,2022-07-29,"3,000","ESTUDIOS EUROPEOS DE POSTGRADO Y EMPRESA, S.L.","Art. 5 (1) f) GDPR, Art. 32 (1) GDPR",Insufficient technical and organisational measures to ensure information security
17,ETid-1323,SPAIN,2022-08-04,"2,000",JAÉN SENTIDO Y COMÚN,"Art. 5 (1) f) GDPR, Art. 32 (1) GDPR",Insufficient technical and organisational measures to ensure information security
18,ETid-1322,ROMANIA,2022-08-04,"2,000",Sephora Cosmetics România SA,Art. 21 GDPR,Insufficient fulfilment of data subjects rights
19,ETid-1321,NORWAY,2022-08-02,"30,200",Krokatjønnvegen 15 AS,Art. 6 GDPR,Insufficient legal basis for data processing
20,ETid-1320,SPAIN,2022-08-02,"42,000",Banco Bilbao Vizcaya Argentaria S.L.,Art. 6 GDPR,Insufficient legal basis for data processing
21,ETid-1319,SPAIN,2022-08-01,600,Private individual,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles
22,ETid-1318,FRANCE,2022-07-07,"175,000",UBEEQO INTERNATIONAL,"Art. 5 (1) c), e) GDPR, Art. 12 GDPR",Non-compliance with general data processing principles
23,ETid-1317,POLAND,2022-07-06,"2,120",University Hospital of the Medical University of Warsaw,"Art. 33 GDPR, Art. 34 GDPR",Insufficient fulfilment of data breach notification obligations
24,ETid-1316,ITALY,2021-09-29,"11,000",Territorial Administration of the Government of Genoa,"Art. 5 (1) a), c) GDPR, Art. 6 (1) c), e) Art. 6 (2) GDPR, Art. 6 (3) b) GDPR GDPR, Art. 2-ter (1), (3) Codice della privacy",Insufficient legal basis for data processing
25,ETid-1315,SPAIN,2022-07-26,800,"EFS MANTENIMIENTO Y SERVICIOS TÉCNICOS, S.L.",Art. 5 (1) f) GDPR,Non-compliance with general data processing principles
26,ETid-1314,SPAIN,2022-07-26,"2,500",Homeowners Association,Art. 5 (1) f) GDPR,Non-compliance with general data processing principles
27,ETid-1313,GERMANY,2022-07-28,"900,000",Hannoversche Volksbank,Art. 6 (1) GDPR,Insufficient legal basis for data processing
28,ETid-1312,SPAIN,2022-07-26,"15,000","TELEFÓNICA MÓVILES ESPAÑA, S.A.U.",Art. 6 (1) GDPR,Insufficient legal basis for data processing
29,ETid-1311,SPAIN,2022-07-27,300,Private Person,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles
30,ETid-1310,LUXEMBOURG,2022-06-30,"1,000",Company,"Art. 5 (1) a) GDPR, Art. 12 (1), (7) GDPR, Art. 13 GDPR",Insufficient fulfilment of information obligations
31,ETid-1309,LUXEMBOURG,2022-06-30,"1,000",Company,"Art. 5 (1) a) GDPR, Art. 12 (1), (7) GDPR, Art. 13 GDPR",Insufficient fulfilment of information obligations
32,ETid-1308,SPAIN,2022-07-22,500,CINCON S.C.,Art. 13 (2) GDPR,Insufficient fulfilment of information obligations
33,ETid-1307,LUXEMBOURG,2022-06-30,"1,400",Company,"Art. 5 (1) e) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles
34,ETid-1306,LUXEMBOURG,2022-06-22,"3,000",Company,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles
35,ETid-1305,GERMANY,2022-07-26,"1,100,000",Volkswagen,"Art. 13 GDPR, Art. 28 GDPR, Art. 30 GDPR, Art. 35 GDPR",Insufficient fulfilment of information obligations
36,ETid-1304,SPAIN,2022-07-22,"40,000","ESVETEL, S.L.","Art. 28 GDPR, Art. 48 (1) b) LGT",Insufficient fulfilment of data subjects rights
37,ETid-1303,GERMANY,2021,"10,100",Car trading group,Unknown,Insufficient legal basis for data processing
38,ETid-1302,GERMANY,2021,"12,500",Energy supplier,Unknown,Unknown
39,ETid-1301,GERMANY,2021,"12,500",Energy supplier,Unknown,Unknown
40,ETid-1300,GERMANY,2021,"5,000",Private individual,"Art. 5 (1) a) GDPR, Art. 6 (1) GDPR",Insufficient legal basis for data processing
41,ETid-1299,ITALY,2022-05-22,"12,000",Comune di Napoli Corpo di Polizia Municipale,"Art. 5 (1) a) GDPR, Art. 6 GDPR, Art. 88 GDPR, Art. 113 Codice della privacy",Insufficient legal basis for data processing
42,ETid-1298,ITALY,2022-05-26,"50,000",Azienda sanitaria universitaria Friuli Occidentale,"Art. 5 (1) a), f) GDPR, Art. 9 GDPR, Art. 25 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security
43,ETid-1297,ITALY,2022-05-26,"70,000",Azienda sanitaria universitaria Friuli Centrale,"Art. 5 (1) a), f) GDPR, Art. 9 GDPR, Art. 25 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security
