,ID,Country,Date,Amount,Controller_Processor,Quoted_Art,Type,Source
0,ETid-987,IRELAND,2021-12-02,"60,000",Irish Teacher Council,"Art. 5 (1) GDPR, Art. 32 (1) GDPR, Art. 33 GDPR",Insufficient technical and organisational measures to ensure information security,link
1,ETid-986,GREECE,2021-12-31,"30,000",INFO COMMUNICATION SERVICES,"Art. 13 GDPR, Art. 14 GDPR, Art. 11 Law 3471/2006",Insufficient fulfilment of information obligations,link
2,ETid-985,GREECE,2021-12-31,"25,000",PLUS REAL ADVERTISEMENT,"Art. 13 GDPR, Art. 14 GDPR, Art. 11 Law 3471/2006",Insufficient fulfilment of information obligations,link
3,ETid-984,POLAND,2021-12-09,"10,000",Warsaw University of Technology,"Art. 5 (1) f) GDPR, Art. 5 (2) GDPR, Art. 24 (1) GDPR, Art. 25 (1) GDPR, Art. 32 (1), (2) GDPR",Insufficient technical and organisational measures to ensure information security,link link
4,ETid-983,SPAIN,2022-01-11,"9,000",EDUCANDO JUNTOS SL,"Art. 6 (1) GDPR, Art. 17 GDPR",Insufficient legal basis for data processing,link
5,ETid-982,SPAIN,2022-01-11,"3,000",Property Owner Community,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link
6,ETid-981,GREECE,2022-01-05,"1,000",Εγνατία Οδός Α.Ε.,Art. 12 (3) GDPR,Insufficient fulfilment of data subjects rights,link
7,ETid-980,FRANCE,2021-12-31,"60,000,000",Facebook Ireland Ltd.,Art. 82 loi Informatique et Libertés,Insufficient legal basis for data processing,link link
8,ETid-979,FRANCE,2021-12-31,"60,000,000",Google Ireland Ltd.,Art. 82 loi Informatique et Libertés,Insufficient legal basis for data processing,link link
9,ETid-978,FRANCE,2021-12-31,"90,000,000",Google LLC,Art. 82 loi Informatique et Libertés,Insufficient legal basis for data processing,link link
10,ETid-977,ROMANIA,2021-12-06,"6,000",Telekom Romania Communications SA,"Art. 5 (1) d), f) GDPR, Art. 5 (2) GDPR, Art. 17 GDPR",Non-compliance with general data processing principles,link
11,ETid-976,ITALY,2021-11-11,"150,000",TIM S.p.A.,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,link
12,ETid-975,ITALY,2021-12-02,"30,000",Ica s.r.l.,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,link
13,ETid-974,NORWAY,2021-12-13,"20,000",Elektro & Automasjon Systemer AS,Art. 6 (1) f) GDPR,Insufficient legal basis for data processing,link
14,ETid-973,SPAIN,2021-12-28,"2,000",Call shop manager,Art. 13 GDPR,Insufficient fulfilment of information obligations,link
15,ETid-972,FRANCE,2021-12-28,"300,000",FREE MOBILE,"Art. 12 GDPR, Art. 15 GDPR, Art. 21 GDPR, Art. 25 GDPR, Art. 32 GDPR",Insufficient fulfilment of data subjects rights,link link
16,ETid-971,FRANCE,2021-12-28,"180,000",SLIMPAY,"Art. 28 GDPR, Art. 32 GDPR, Art. 34 GDPR",Insufficient technical and organisational measures to ensure information security,link link
17,ETid-970,SPAIN,2021-12-28,"6,000",REAL CLUB NÁUTICO DE RIBADEO,Art. 6 (1) GDPR,Insufficient legal basis for data processing,link
18,ETid-969,SPAIN,2021-12-28,"2,000","VENTANAS MAKE YOURSELF, S.L.",Art. 13 GDPR,Insufficient fulfilment of information obligations,link
19,ETid-968,SPAIN,2021-12-16,"60,000",Banco Bilbao Vizcaya Argentaria S.A.,Art. 6 GDPR,Insufficient legal basis for data processing,link
20,ETid-967,SPAIN,2021-12-22,"5,000",HUBSIDE IBÉRICA S.L.,Art. 6 (1) GDPR,Insufficient legal basis for data processing,link
21,ETid-966,SPAIN,2021-12-22,"5,000",Sfam España General s.l.,Art. 6 (1) GDPR,Insufficient legal basis for data processing,link
22,ETid-965,SPAIN,2021-12-21,"6,000",Private individual,Art. 6 (1) GDPR,Insufficient legal basis for data processing,link
23,ETid-964,SPAIN,2021-12-23,"1,500",LA OFICINA BAR,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link
24,ETid-963,SPAIN,2021-12-17,"4,000",CLUB DEPORTIVO RITMO DE ANDALUCÍA,"Art. 7 GDPR, Art. 13 GDPR",Insufficient fulfilment of information obligations,link
